iter	Logloss
0	0.688710433
1	0.6837021219
2	0.6793876533
3	0.6754364664
4	0.6714096584
5	0.6676300796
6	0.6636848675
7	0.660427178
8	0.6564871638
9	0.6525278605
10	0.6479973295
11	0.644556604
12	0.6408876118
13	0.6375392388
14	0.6331368276
15	0.6299644453
16	0.6259708751
17	0.6226692064
18	0.6199142394
19	0.6163466604
20	0.6130730114
21	0.6107782272
22	0.6079005341
23	0.6051791608
24	0.6020629396
25	0.5987882862
26	0.5958870365
27	0.5927374601
28	0.5893739352
29	0.5863555057
30	0.58410146
31	0.5811168824
32	0.5789421153
33	0.5756741998
34	0.573427644
35	0.5702350005
36	0.5679572668
37	0.5653183605
38	0.5634034184
39	0.5611095403
40	0.5590934042
41	0.556743322
42	0.5544421471
43	0.5519718893
44	0.5495981399
45	0.5472852453
46	0.5454260347
47	0.5438788206
48	0.5417962676
49	0.5398988494
50	0.5378171525
51	0.5359272096
52	0.5337478038
53	0.531819132
54	0.5300044791
55	0.52799643
56	0.5263824817
57	0.5242731478
58	0.522999289
59	0.5212145303
60	0.5194045764
61	0.5179366497
62	0.5164818238
63	0.5147791339
64	0.5134723119
65	0.5118455796
66	0.5103636214
67	0.50861834
68	0.5068402497
69	0.5056102059
70	0.504207722
71	0.5028925422
72	0.5011871671
73	0.4995924884
74	0.4977046488
75	0.496763486
76	0.4954548855
77	0.4941568227
78	0.4924375343
79	0.490946053
80	0.4895856167
81	0.4882631573
82	0.4868530914
83	0.4858160084
84	0.4848957706
85	0.4834287993
86	0.4824395293
87	0.4811452242
88	0.4797380123
89	0.4782311414
90	0.4767855731
91	0.4758298814
92	0.4747095108
93	0.4730964737
94	0.4720495602
95	0.4709696908
96	0.4699696194
97	0.4689883301
98	0.4680340144
99	0.4671455392
100	0.4659199226
101	0.4648179246
102	0.463858602
103	0.4624640045
104	0.4616287283
105	0.4604637449
106	0.4594120892
107	0.4584046428
108	0.4573378377
109	0.4562830373
110	0.4554004043
111	0.4545382265
112	0.4535853838
113	0.4525055593
114	0.4515628891
115	0.4505367955
116	0.4497872723
117	0.4490427266
118	0.4482326801
119	0.4472992536
120	0.4461495687
121	0.4453168252
122	0.4446678484
123	0.4439012035
124	0.4432693167
125	0.4423453308
126	0.4416198494
127	0.4405580325
128	0.4397601171
129	0.4385876734
130	0.4378046966
131	0.4369411039
132	0.4363564861
133	0.4356552412
134	0.4349110635
135	0.4343056815
136	0.4331317013
137	0.4322256667
138	0.4315064752
139	0.4308387943
140	0.4301237682
141	0.4291865019
142	0.4287054548
143	0.4278695041
144	0.4270343271
145	0.4266610436
146	0.4261608663
147	0.425306305
148	0.4246394526
149	0.4239986867
150	0.4233351634
151	0.4229215827
152	0.4225357164
153	0.4219114015
154	0.421058811
155	0.4202402761
156	0.4195632993
157	0.418763099
158	0.4182100097
159	0.4176527746
160	0.4169861175
161	0.4163809747
162	0.4155709931
163	0.4145435562
164	0.4139624458
165	0.4133979387
166	0.4127875748
167	0.4119156825
168	0.4111078059
169	0.4105482444
170	0.409805513
171	0.4093208384
172	0.4086425567
173	0.4079764951
174	0.4075228816
175	0.4068776798
176	0.4066122068
177	0.4060378188
178	0.405541208
179	0.4048345875
180	0.4039531634
181	0.4035187693
182	0.4027976547
183	0.4021278152
184	0.4013811157
185	0.4008142104
186	0.4002202533
187	0.3997806386
188	0.3991604336
189	0.398665409
190	0.3980983382
191	0.3977250633
192	0.3973381889
193	0.3967128992
194	0.3961286804
195	0.3956439731
196	0.3950851191
197	0.3945664607
198	0.3941654731
199	0.3936667058
200	0.3933781794
201	0.39300028
202	0.392325304
203	0.3919547552
204	0.3916343352
205	0.3910351648
206	0.3901973585
207	0.3896418252
208	0.3892236613
209	0.3887690762
210	0.388190433
211	0.3876262608
212	0.3872726061
213	0.3867305133
214	0.3863075236
215	0.3858777243
216	0.3854111496
217	0.3847218446
218	0.3842204801
219	0.3838201036
220	0.3834319024
221	0.3829106234
222	0.3820919292
223	0.3817839544
224	0.3813913153
225	0.381210494
226	0.380860307
227	0.3805398687
228	0.3800982274
229	0.3796155495
230	0.3791621649
231	0.3787744495
232	0.378430548
233	0.3779557756
234	0.3775926334
235	0.3772675632
236	0.376848627
237	0.3762036071
238	0.3758977918
239	0.3755709722
240	0.3750687547
241	0.3747251933
242	0.3743353928
243	0.3741179692
244	0.3738473513
245	0.3736304035
246	0.3733491975
247	0.3729120399
248	0.3724512492
249	0.3719904639
250	0.3717344077
251	0.3714799643
252	0.3710701307
253	0.3706407755
254	0.3704157188
255	0.3701820177
256	0.3699160135
257	0.3695575744
258	0.3692645225
259	0.3690457193
260	0.3688122581
261	0.3683946175
262	0.3679551751
263	0.3675193646
264	0.367290234
265	0.3668727082
266	0.3666457881
