dataset_file,catboost,lgbm,logreg,mlp,rf,xgb
dataset_146_BNG(ionosphere).csv,0.992589,0.98084,0.925009,0.987689,0.977309,0.989778
dataset_1489_phoneme.csv,0.8985932093055127,0.8947074039812245,0.7514794257717476,0.8593632439099599,0.9115465789563848,
dataset_151_electricity.csv,0.6968525551771017,0.7173119656555513,0.7025699404786909,0.6866807747323458,0.7131847732149262,0.6843171562519048
dataset_188_eucalyptus.csv,0.4876631733774591,0.5121621621621621,0.4373598087883802,0.3939419010847582,0.4074738003309431,0.5298308512594228
dataset_31_credit-g.csv,0.76,0.74,0.7530000000000001,0.7329999999999999,0.763,0.737
dataset_37_diabetes.csv,0.7696205755029284,0.7448349036584331,0.7708853238265002,0.7644257703081232,0.7656820303879128,0.7409557762498938
dataset_41159_guillermo.csv,0.8402499999999999,0.82585,0.6697,0.77265,0.8126999999999999,0.8257
dataset_42183_dataset_sales.csv,0.2567489260056256,0.1409014267016728,0.2494890449538093,0.210832272999699,0.2542327911537383,
dataset_44_spambase.csv,0.9384869942878724,0.9321833545767833,0.91197446065241,0.9230588207524903,0.9295763111929376,0.9313147335127224
dataset_61_iris.csv,0.9666666666666668,0.9466666666666668,0.9600000000000002,0.9600000000000002,0.9666666666666668,0.9533333333333334
